id,title,genres,original_language,popularity,production_companies,release_year,budget,revenue,runtime,status,vote_average,vote_count,credits,keywords,revenue_budget_ratio,matched_production_companies
70478,The Stewardesses,Comedy,en,2.112,['unknown'],1969,740854,27000000.0,69.0,Released,3.8,0.032363716,Christina Hart-Ronald South-William Condos-Anita de Moulin-Paula Erikson-Kathy Ferrick-Janet Wass-Donna Stanley-Jerry Litvinoff-Patricia Fein-Beth Shields-Monica Gayle-Robert Keller-Andy Roth-John Barcado,stewardess-erotic movie,36.44442764701277,
37247,The Graduate,Comedy-Drama-Romance,en,17.737,"['lawrence turman  inc', 'avco embassy']",1967,3000000,104945305.0,106.0,Released,7.7,9.259259259,Anne Bancroft-Dustin Hoffman-Katharine Ross-Murray Hamilton-William Daniels-Elizabeth Wilson-Buck Henry-Brian Avery-Walter Brooke-Norman Fell-Alice Ghostley-Marion Lorne-Eddra Gale-Frank Baker-George Bruggeman-Garrett Cassell-Buddy Douglas-Richard Dreyfuss-Bob Eubanks-Mike Farrell-Bob Folkerson-Elisabeth Fraser-Donald F. Glut-Laurence Haddon-Harry Holcombe-Jonathan Hole-Robert P. Lieb-Elaine May-Eve McVeagh-Lainie Miller-Ben Murphy-Stuart Nisbet-William H. O'Brien-Sam O'Steen-Robert Perry-Noam Pitlik-Anthony Redondo-Clark Ross-Bernard Sell-Wayne Stam-Hal Taggart-Tim Taylor-Kevin Tighe-Arthur Tovey-Eleanore Vogel-Wally West-David Westberg-Jay Dee Witney-Maris Wrixon,seduction-college-romance-coming of age-los angeles california-wedding-older woman younger man relationship-graduate-rape accusation,34.981768333333335,
12262,The Hills Have Eyes,Horror-Thriller,en,15.823,['blood relations co'],1977,740854,25000000.0,90.0,Released,6.2,2.3593149248514504,Martin Speer-Russ Grieve-John Steadman-James Whitworth-Virginia Vincent-Michael Berryman-Janus Blythe-Lance Gordon-Cordy Clark-Peter Locke-Robert Houston-Dee Wallace-Suze Lanier-Bramlett,rape-mutation-government-murder-cannibal-dog-desert-cult film-camper-set on fire,33.74484041390072,
877046,You Before US,unknown,ar,0.6,['قصة عشق'],2008,3000000,100000000.0,0.0,Released,3.35,0.0,unknown,unknown,33.333333333333336,
858485,Kantara,Mystery-Action-Thriller,kn,12.829,['hombale'],2022,1934000,60447800.0,147.0,Released,7.4,0.1294548655611221,Rishab Shetty-Sapthami Gowda-Kishore-Pramod Shetty-Achyuth Kumar-Vinay Bidappa-Manasi Sudhir-Prakash Tuminadu-Shanil Guru,folklore-hindu mythology,31.25532574974147,
770,Gone with the Wind,Drama-War-Romance,en,31.978,"['selznick international', 'metro', 'goldwyn', 'mayer']",1939,4000000,122030281.3,238.0,Released,8.0,10.0,Vivien Leigh-Clark Gable-Olivia de Havilland-Leslie Howard-Hattie McDaniel-Thomas Mitchell-Barbara O'Neil-Evelyn Keyes-Ann Rutherford-George Reeves-Fred Crane-Oscar Polk-Butterfly McQueen-Victor Jory-Everett Brown-Howard Hickman-Alicia Rhett-Rand Brooks-Carroll Nye-Laura Hope Crews-Eddie 'Rochester' Anderson-Harry Davenport-Leona Roberts-Jane Darwell-Ona Munson-Paul Hurst-Isabel Jewell-Cammie King-Eric Linden-J. M. Kerrigan-Ward Bond-Jackie Moran-Cliff Edwards-Lillian Kemble-Cooper-Yakima Canutt-Marcella Martin-Louis Jean Heydt-Mickey Kuhn-Olin Howland-Irving Bacon-Robert Elliott-William Bakewell-Mary Anderson-John Albright-Eric Alden-John Arledge-Roscoe Ates-Trevor Bardette-Lennie Bluett-Ralph Brooks-Daisy Bufford-Ann Bupp-James Bush-Ruth Byers-Gary Carlson-Horace B. Carpenter-Louise Carter-Shirley Chambers-Eddy Chandler-Wallis Clark-Richard Clucas-Frank Coghlan Jr.-Billy Cook-Gino Corrado-Martina Cortina-Luke Cosgrave-Kernan Cripps-Patrick Curtis-Ned Davenport-Yola d'Avril-Lester Dorr-Phyllis Douglas-Joan Drake-F. Driver-Edythe Elliott-Susan Falligant-Richard Farnsworth-Frank Faylen-Kelly Griffin-George Hackathorne-Chuck Hamilton-Evelyn Harding-Inez Hatchett-Jean Heker-William Hoehne Jr.-Ricky Holt-Shep Houghton-Jerry James-Si Jenks-Tommy Kelly-Emmett King-W. Kirby-Timothy J. Lonergan-Margaret Mann-William McClain-George Meeker-Charles Middleton-Alberto Morin-Adrian Morris-Lee Murray-H. Nellman-David Newell-Naomi Pharr-Lee Phelps-Spencer Quinn-Jolane Reynolds-Marjorie Reynolds-Suzanne Ridgway-Louisa Robert-Azarene Rogers-Scott Seaton-Tom Seidel-Terry Shero-William Stack-William Stelling-Harry Strang-Dirk Wayne Summers-Emerson Treacy-Phillip Trent-Julia Ann Tuck-Tom Tyler-Dale Van Sickel-E. Alyn Warren-Blue Washington-Rita Waterhouse-John Joseph Waterman Jr.-Dan White-Ernest Whitman-Guy Wilkerson-Zack Williams-John Wray-Arthur Tovey,civil war-loss of loved one-based on novel or book-atlanta-slavery-plantation-typhus-widow-marriage crisis-romance-casualty of war-second marriage-american civil war-technicolor-reconstruction era-businesswoman-1860s-1870s-antebellum south,30.50757031,
1842,The Legend of Boggy Creek,Mystery-Horror-Drama,en,5.459,['p & l'],1972,740854,22000000.0,87.0,Released,5.0,0.1715276968684868,Vern Stierman-Chuck Pierce Jr.-William Stumpp-Willie E. Smith-Lloyd Bowen-Jeff Crabtree-Glenn Carruth-Bunny Dees-John Wallis-Sarah Coble-Travis Crabtree-Smokey Crabtree-Robin Raffaell-Cathy Cox-Jinger Hawkins-Steve Lyons-John P. Hixon-John W. Oates-B.R. Barrington-Buddy Crabtree-Judy Haltom-Mary B. Johnson-Louise Searcy-Dina Louise Savell-Phillip Bradley-Bill Hunt-Monroe E. Smith-Eddie J. Dalmes-James E. Cobb-William Wright-Eddy Berdig-Jerry Chapman-Rickey Ashley-Dave R. Templeton-John Knight Jr.-Dudley Pickens-James Cornell-Gene Ross-Herb Jones-Patty Dougan-Dennis Lamb-Loraine Lamb-George Dobson-Dave Ball-Jim Nicklus-Flo Pierce-Thomas Templeton-Pamula Pierce-Tammy Harper-Bobby Splawn-Charles Walraven-Robin Raffaelli-Dave O'Brien-Billy Crawford-James Tennison-Ernest Walraven-Amanda Pierce-Aaron Ball-Ken McElroy-Sarah Brewers-Glenda Page-Sandra Peabody,bigfoot-swamp-arkansas-based on true story-monsters of the wild-cryptozoology-mockumentary-docudrama-swamp monster-fake documentary-southern sasquatch-fouke monster-sasquatch-pseudo-documentary,29.69545956423263,
538831,Unbound,Action-Crime-Drama-Thriller,en,1.749,['rahaman'],2018,740854,21000000.0,97.0,Released,4.0,0.009709115,Daniel O'Shea-Debra Toscano-Robert Michael Anderson-Dan Thorp-Kevin Moccia-Vincent Ticali-Laura Fay Lewis-Charlie Sausa-Lauren Toglia-Damien Bosco-Steve Rahaman-Nathaniel Toto,murder,28.34566595,
538831,Unbound,Action-Crime-Drama-Thriller,en,2.22,['rahaman'],2018,740854,21000000.0,97.0,Released,4.0,0.009709115,Daniel O'Shea-Debra Toscano-Robert Michael Anderson-Dan Thorp-Kevin Moccia-Vincent Ticali-Laura Fay Lewis-Charlie Sausa-Lauren Toglia-Damien Bosco-Steve Rahaman-Nathaniel Toto,murder,28.34566595,
538831,Unbound,Action-Crime-Drama-Thriller,en,1.586,['rahaman'],2018,740854,21000000.0,97.0,Released,4.0,0.009709115,Daniel O'Shea-Debra Toscano-Robert Michael Anderson-Dan Thorp-Kevin Moccia-Vincent Ticali-Laura Fay Lewis-Charlie Sausa-Lauren Toglia-Damien Bosco-Steve Rahaman-Nathaniel Toto,murder,28.34566595,
25018,Leatherface: The Texas Chainsaw Massacre III,Horror,en,22.348,['nicolas'],1990,2000000,55765562.0,85.0,Released,5.3,1.3625124600308105,Kate Hodge-Ken Foree-R.A. Mihailoff-William Butler-Viggo Mortensen-Tom Everett-Toni Hudson-Jennifer Banko-Duane Whitaker-Joe Unger-Caroline Williams-Miriam Byrd-Nethery-David Cloud-Beth DePatie-Michael Shamus Wiles-Ron Brooks,sequel-leatherface-death,27.882781,
42450,Macon County Line,Drama-Action,en,4.942,['max baer'],1974,740854,18000000.0,89.0,Released,6.2,0.090618406,Alan Vint-Cheryl Waters-Geoffrey Lewis-Max Baer Jr.-Joan Blackman-Jesse Vint-Sam Gilman-Timothy Scott-James Gammon-Leif Garrett-Emile Meyer-Doodles Weaver-Avil Williams-Jay Adler-Roger Camras-David Orange-Roger Pancake-Carolyn Judd-Kate Monahan-Edward Cross-Von Deming-John DeMattio-Linda Atnip-Ross Hildebrand-Annie Compton-Jan Green,southern usa-sheriff-gas station-houseboat-revenge-murder-diner-small town sheriff-military school-death of wife-1950s,24.29628509800851,
787459,"Dad, I'm Sorry",Comedy-Family-Drama,vi,1.236,"['hk', 'trấn thành town', 'galaxy studio']",2021,740854,17130489.0,128.0,Released,7.2,0.0161818581951402,Trấn Thành-Tuấn Trần-Ngân Chi-Ngọc Giàu-Lê Giang-Hoàng Mèo-Lan Phương,unknown,23.122624700683264,
286110,Upendra,Thriller-Romance,kn,1.093,['unknown'],1999,740854,17000000.0,138.0,Released,7.4,0.03883646,Upendra-Raveena Tandon-Prema-Damini-Gurukiran-V. Manohar,unknown,22.946491481452487,
30315,Kingdom of the Spiders,Horror-Science Fiction,en,7.273,['arachnid'],1977,740854,17000000.0,97.0,Released,5.5,0.3139280489857211,William Shatner-Tiffany Bolling-Woody Strode-Lieux Dressler-David McLean-Natasha Ryan-Altovise Davis-Joe Ross-Marcy Lafferty-Hoke Howell-Adele Malis-Morey-Roy Engel-Bill Coontz-Whitey Hughes-Jay Lawrence-Bettie Bolling-Anita Merritt-Nadia Caillou-Valla Rae McDade,hotel-small town-spider-siege-animal attack-corpse-tarantula-death-spider bite-eco-horror,22.946491481452487,
11134,Police Story 3: Super Cop,Action-Crime-Thriller,cn,24.245,"['orange sky golden harvest', 'golden way']",1992,900000,20483423.0,95.0,Released,6.8,1.2460030810258005,Jackie Chan-Michelle Yeoh-Maggie Cheung-Kenneth Tsang-Yuen Wah-Bill Tung-Lo Lieh-Mars-Josephine Koo-Kelvin Wong-William Duen-Lam Chi-Tai-Kim Maree Penn-Philip Chan Yan-Kin-Ken Lo-Bill Shum Wai,china-martial arts-thailand-police-malaysia-prison escape-hong kong-female martial artist-illegal drugs-stunt master-kuala lumpur malaysia,22.75935888888889,
146724,Love 911,Drama-Romance-Comedy,ko,9.465,['next  world'],2012,740854,16786016.0,120.0,Released,7.2,0.1618185819514026,Han Hyo-joo-Go Soo-Ma Dong-seok-Kim Sung-oh-Hyun Jyu-ni-Jin Seo-yeon-Yoon Se-woong,unknown,22.65765724420736,
383367,Sairat,Drama,mr,3.343,['aatpat'],2016,740854,16500000.0,170.0,Released,7.8,0.1391639804782062,Akash Thosar-Rinku Rajguru-Anuja Mule-Tanaji Galgunde-Arbaz Shaik-Jyoti Subhash-Nagraj Manjule,unknown,22.271594673174473,
317442,The Last: Naruto the Movie,Action-Romance-Animation,ja,45.0,['aniplex'],2014,903852,19840000.0,114.0,Released,7.7,5.427395238650044,Junko Takeuchi-Nana Mizuki-Jun Fukuyama-Chie Nakamura-Showtaro Morikubo-Kazuhiko Inoue-Akira Ishida-Hideaki Tezuka-Yurika Hino-Tomomichi Nishimura-Hisao Egawa-Masako Katsuki-Keiko Nemoto-Masashi Ebara-Ikue Otani-Satoshi Hino-Noriaki Sugiyama,anime,21.950496320194013,
561499,Operation Thunderbolt,Adventure-Action-Thriller,en,1.097,['unknown'],1956,5600000,122030281.3,95.0,Released,3.35,0.0,Blanchette Brunoy-Célia Cortez-Jean-Pierre Kérien-Howard Vernon-Jacques Charon-Jacques Torrens-Liliane Ernout-Gabriel Sardet-Charles Lemontier-Gérard Le Faivre-Philippe Hersent-Marco Villa-Paul Azaïs-Louise Bazin-Béatrix Brunel-Danièle Bréhat-Jean-Louis Calvet-Danielle Dumont-Germaine Godefroid-Germaine Landa-Jean Murat-Jean Nosserot-Charles Roy-Jean Thielment,unknown,21.791121651785716,
5822,Sweet Sweetback's Baadasssss Song,Action-Drama-Crime,en,7.86,['yeah'],1971,740854,15200000.0,97.0,Released,5.2,0.2686188460393284,Simon Chuckster-Melvin Van Peebles-Hubert Scales-Mario Van Peebles-John Dullaghan-John Amos-Lavelle Roby-Rhetta Hughes-Norman Fields-Joe Tornatore-Mikel Angel-William Kirschner-Vincent Barbi-Chesley Noone-Curt Matson-Wesley Gale,mexico-black people-pimp-anti hero-black panther party-blaxploitation cinema-los angeles california,20.516862971651634,
