title,genres,original_language,popularity,production_companies,release_year,runtime,vote_average,vote_count,pc_impact,pcif,gif,pop_actor,success_pot
A Prayer for the Dying,multiple,en,0.629,samuel goldwyn,1987,2.3703703703703702,5.7,0.2168368998148795,0.06584632528089887,low,low,True,low
Red Dragon,Crime,en,0.629,universal,2002,3.6296296296296298,7.009,10.0,1.5666978714723927,high,medium,True,medium
City of Ghosts,Thriller,en,0.6283000000000001,united artists,2002,3.0370370370370363,5.9,0.2038914132587673,0.8990610927777777,low,medium,True,low
The Broadway Melody,Drama,en,0.6279,metro-goldwyn-mayer,1929,1.9259259259259256,5.302,0.3430553937369736,1.0234533082758621,medium,high,False,high
The Secret of Roan Inish,multiple,en,0.6275000000000001,jones,1994,2.0740740740740735,6.6,0.2427278729271039,1.652e-05,low,low,False,low
Detention,Action,en,0.6274,nu image,2003,1.7037037037037033,4.537,0.1326912372001501,0.7777891515,low,high,False,low
Stay Tuned,Comedy,en,0.6273,warner bros,1992,0.8888888888888884,6.1,0.4401465429078152,1.6886122643533121,high,high,False,low
Storm Catcher,Action,en,0.6271,franchise,1999,1.481481481481481,3.975,0.064727433,0.32546456666666673,low,high,False,low
My Cousin,Comedy,fr,0.627,tf1,2020,2.3703703703703702,5.506,0.2653824744003003,0.609140679,low,high,False,low
Your Sister's Sister,Comedy,en,0.6259,unknown,2011,1.1111111111111107,6.5,0.9320750320400792,0.312982092,low,high,True,high
End of the Spear,Adventure,en,0.6256999999999999,toy gun,2005,2.4444444444444446,6.1,0.1424003521172343,0.002745925,low,high,False,low
X-Men Origins: Wolverine,multiple,en,0.6254,20th century fox,2009,2.3703703703703702,6.3,10.0,2.346507158347826,high,low,True,medium
Town & Country,Comedy,en,0.6254,new line cinema,2001,2.148148148148148,4.5,0.1780004401465429,1.2639715592307692,medium,high,True,low
Stonewall,Drama,en,0.6253,lionsgate,2015,4.0,6.131,0.3818918534053102,0.4699119434177216,low,high,True,low
Bad Dreams,Horror,en,0.6249,20th century fox,1988,0.8148148148148149,5.7,0.2524369878441881,2.346507158347826,high,high,False,medium
Frankenstein Unbound,Horror,en,0.6248,20th century fox,1990,0.5185185185185182,5.6,0.2621461027612722,2.346507158347826,high,high,True,low
